physical_quantity,power
type,active
2023-08-06 01:12:47,0.094122
2023-08-06 01:13:02,0.094324
2023-08-06 01:13:19,0.094608
2023-08-06 01:13:34,0.094835
2023-08-06 01:13:51,0.094067
2023-08-06 01:14:06,0.094349
2023-08-06 01:14:23,0.094364
2023-08-06 01:14:39,0.094178
2023-08-06 01:14:55,0.094119
2023-08-06 01:15:10,0.09417
2023-08-06 01:15:26,0.094285
2023-08-06 01:15:43,0.093175
2023-08-06 01:15:59,0.050795
2023-08-06 01:16:14,0.050878
2023-08-06 01:16:31,0.050822
2023-08-06 01:16:46,0.056703
2023-08-06 01:17:02,0.05586
2023-08-06 01:17:18,0.05538
2023-08-06 01:17:34,0.054692
2023-08-06 01:17:49,0.054264
2023-08-06 01:18:06,0.054827
2023-08-06 01:18:21,0.053364
2023-08-06 01:18:38,0.054806
2023-08-06 01:18:53,0.053498
2023-08-06 01:19:10,0.053478
2023-08-06 01:19:26,0.053415
2023-08-06 01:19:42,0.053495
2023-08-06 01:19:58,0.053496
2023-08-06 01:20:14,0.053132
2023-08-06 01:20:30,0.053122
2023-08-06 01:20:46,0.05332
2023-08-06 01:21:01,0.053204
2023-08-06 01:21:18,0.052979
2023-08-06 01:21:34,0.05301
2023-08-06 01:21:50,0.052588
2023-08-06 01:22:05,0.053186
2023-08-06 01:22:22,0.052598
2023-08-06 01:22:37,0.052999
2023-08-06 01:22:54,0.053033
2023-08-06 01:23:10,0.05249
2023-08-06 01:23:26,0.052764
2023-08-06 01:23:42,0.052405
2023-08-06 01:23:58,0.052826
2023-08-06 01:24:13,0.052802
2023-08-06 01:24:30,0.052501
2023-08-06 01:24:45,0.05251
2023-08-06 01:25:02,0.052433
2023-08-06 01:25:17,0.052658
2023-08-06 01:25:34,0.052172
2023-08-06 01:25:49,0.05236
2023-08-06 01:26:07,0.051156
2023-08-06 01:26:21,0.05064
2023-08-06 01:26:38,0.050511
2023-08-06 01:26:53,0.050603
2023-08-06 01:27:10,0.050706
2023-08-06 01:27:25,0.050705
2023-08-06 01:27:42,0.050956
2023-08-06 01:27:57,0.051058
2023-08-06 01:28:13,0.050918
2023-08-06 01:28:29,0.050824
2023-08-06 01:28:46,0.109474
2023-08-06 01:29:00,0.102482
2023-08-06 01:29:17,0.100064
2023-08-06 01:29:32,0.0994
2023-08-06 01:29:49,0.101413
2023-08-06 01:30:04,0.103049
2023-08-06 01:30:21,0.103913
2023-08-06 01:30:36,0.103842
2023-08-06 01:30:53,0.104009
2023-08-06 01:31:08,0.104348
2023-08-06 01:31:25,0.104671
2023-08-06 01:31:40,0.104303
2023-08-06 01:31:57,0.10444
2023-08-06 01:32:12,0.104639
2023-08-06 01:32:29,0.103828
2023-08-06 01:32:44,0.050998
2023-08-06 01:33:01,0.050813
2023-08-06 01:33:16,0.050829
2023-08-06 01:33:33,0.050997
2023-08-06 01:33:48,0.050815
2023-08-06 01:34:05,0.050922
2023-08-06 01:34:20,0.050543
2023-08-06 01:34:37,0.050987
2023-08-06 01:34:52,0.050952
2023-08-06 01:35:09,0.051102
2023-08-06 01:35:24,0.050892
2023-08-06 01:35:41,0.050413
2023-08-06 01:35:56,0.05029
2023-08-06 01:36:13,0.050454
2023-08-06 01:36:28,0.05029
2023-08-06 01:36:45,0.05017
2023-08-06 01:37:00,0.050935
2023-08-06 01:37:17,0.05081
2023-08-06 01:37:32,0.050708
2023-08-06 01:37:49,0.050451
2023-08-06 01:38:04,0.050905
2023-08-06 01:38:21,0.050317
2023-08-06 01:38:36,0.049931
